date	accel	sonar
981	1938	8412
982	1958	
983	1978	
984	2002	
985	2007	
985	2007	8370
986	2008	
987	1993	
988	1970	
988	1970	8418
989	1968	
990	1963	
991	1956	
992	1946	
992	1946	8334
993	1988	
994	2008	
995	2050	
996	2063	
996	2063	8376
997	2024	
998	1995	
999	1927	
1000	1895	
1000	1895	8390
1001	1910	
1002	1936	
1003	1989	
1003	1989	8376
1004	2022	
1005	2038	
1006	2036	
1007	2017	
1007	2017	8390
1008	1964	
1009	1946	
1010	1924	
1011	1937	
1011	1937	8342
1012	1971	
1013	1985	
1014	1973	
1014	1973	8398
1015	1945	
1016	1933	
1017	1924	
1018	1928	
1018	1928	8384
1019	1945	
1020	1959	
1021	1966	
1022	1977	
1022	1977	8362
1023	1991	
1024	1982	
1025	1951	
1026	1930	
1026	1930	8384
1027	1958	
1028	1983	
1029	2039	
1029	2039	8432
1030	2082	
1031	2080	
1032	2047	
1033	2023	
1033	2023	8390
1034	1977	
1035	1932	
1036	1912	
1037	1937	
1037	1937	8348
1038	2012	
1039	2044	
1040	2054	
1040	2054	8348
1041	1997	
1042	1972	
1043	1972	
1044	1974	
1044	1974	8390
1045	1983	
1046	1993	
1047	2018	
1048	2022	
1048	2022	8390
1049	2025	
1050	2012	
1051	1996	
1052	1978	
1052	1978	8398
1053	1971	
1054	1965	
1055	1950	
1055	1950	8390
1056	1931	
1057	1933	
1058	1941	
1059	1979	
1059	1979	8362
1060	2003	
1061	2051	
1062	2025	
1063	2006	
1063	2006	8398
1064	1973	
1065	1927	
1066	1917	
1066	1917	8446
1067	1934	
1068	1938	
1069	1963	
1070	1981	
1070	1981	8404
1071	2029	
1072	2034	
1073	1995	
1074	1943	
1074	1943	8404
1075	1919	
1076	1894	
1077	1937	
1078	1964	
1078	1964	8356
1079	1996	
1080	2002	
1081	1995	
1082	1989	
1082	1989	8398
1083	1983	
1084	1963	
1085	1967	
1085	1967	8348
1086	1979	
1087	1999	
1088	2025	
1089	2043	
1089	2043	8390
1090	2043	
1091	2023	
1092	2016	
1093	2012	
1093	2012	8398
1094	2010	
1095	2028	
1096	2032	
1097	2056	
1097	2056	8390
1098	2061	
1099	2054	
1100	2029	
1100	2029	8390
1101	1970	
1102	1950	
1103	1972	
1104	2006	
1104	2006	8390
1105	2026	
1106	2053	
1107	2073	
1108	2058	
1108	2058	8398
1109	2008	
1110	1992	
1111	1969	
1111	1969	8356
1112	1967	
1113	1976	
1114	1988	
1115	2013	
1115	2013	8390
1116	2022	
1117	2009	
1118	1985	
1119	1955	
1119	1955	8404
1120	1951	
1121	1967	
1122	1985	
1123	1996	
1123	1996	8362
1124	2019	
1125	2035	
1126	2031	
1126	2031	8398
1127	2002	
1128	1983	
1129	1977	
1130	1963	
1130	1963	8362
1131	1952	
1132	1948	
1133	1931	
1134	1920	
1134	1920	8404
1135	1943	
1136	2000	
1137	2019	
1137	2019	8404
1138	2041	
1139	1983	
1140	1957	
1141	1876	
1141	1876	8362
1142	1897	
1143	1938	
1144	1949	
1145	1952	
1145	1952	8362
1146	1962	
1147	1970	
1148	1937	
1149	1886	
1149	1886	8356
1150	1882	
1151	1916	
1152	1930	
1152	1930	8404
1153	1939	
1154	1952	
1155	1951	
1156	1951	
1156	1951	8356
1157	1966	
1158	1988	
1159	2001	
1160	2031	
1160	2031	8398
1161	2034	
1162	2013	
1163	1956	
1163	1956	8398
1164	1934	
1165	1916	
1166	1926	
1167	1950	
1167	1950	8348
1168	2018	
1169	2069	
1170	2062	
1171	2035	
1171	2035	8390
1172	1974	
1173	1936	
1174	1928	
1175	1941	
1175	1941	8390
1176	1981	
1177	1998	
1178	2025	
1178	2025	8426
1179	2021	
1180	1982	
1181	1938	
1182	1913	
1182	1913	8432
1183	1906	
1184	1924	
1185	1964	
1186	1978	
1186	1978	8390
1187	1984	
1188	1975	
1189	1968	
1189	1968	8398
1190	1969	
1191	1963	
1192	1961	
1193	1991	
1193	1991	8398
1194	2003	
1195	1995	
1196	1976	
1197	1961	
1197	1961	8390
1198	1946	
1199	1931	
1200	1958	
1201	1976	
1201	1976	8390
1202	2006	
1203	2022	
1204	2020	
1204	2020	8356
1205	2001	
1206	1990	
1207	1972	
1208	1979	
1208	1979	8390
1209	1992	
1210	1999	
1211	1992	
1212	1973	
1212	1973	8384
1213	1969	
1214	1962	
1215	1926	
1215	1926	8398
1216	1920	
1217	1936	
1218	1966	
1219	1991	
1219	1991	8398
1220	2017	
1221	2024	
1222	2019	
1223	1981	
1223	1981	8348
1224	1964	
1225	1954	
1226	1963	
1227	1974	
1227	1974	8390
1228	1985	
1229	1998	
1230	1980	
1230	1980	8384
1231	1979	
1232	1965	
1233	1955	
1234	1975	
1234	1975	8384
1235	2010	
1236	2033	
1237	2054	
1238	2045	
1238	2045	8328
1239	2037	
1240	2006	
1241	1981	
1241	1981	8376
1242	1982	
1243	1981	
1244	1994	
1245	2018	
1245	2018	8370
1246	2029	
1247	2025	
1248	2019	
1249	1991	
1249	1991	8328
1250	1981	
1251	1992	
1252	2011	
1253	2021	
1253	2021	8328
1254	2047	
1255	2056	
1256	2079	
1256	2079	8334
1257	2082	
1258	2079	
1259	2056	
1260	2046	
1260	2046	8376
1261	2007	
1262	1983	
1263	1982	
1264	1987	
1264	1987	8342
1265	1999	
1266	2023	
1267	2065	
1268	2080	
1268	2080	8370
1269	2084	
1270	2075	
1271	2030	
1271	2030	8418
1272	1990	
1273	1972	
1274	1962	
1275	1965	
1275	1965	8390
1276	1987	
1277	2014	
1278	2018	
1279	1991	
1279	1991	8348
1280	2006	
1281	2006	
1282	1999	
1283	1968	
1283	1968	8356
1284	1941	
1285	1940	
1286	1948	
1286	1948	8404
1287	1958	
1288	1974	
1289	1969	
